Price(Float),Area(In Sq.Feet),Road,Face,Floors,Bedroom,Bathroom,Address,City
46500000,1471.675,13,West,3,6,6,Hepali Height,Kathmandu
35000000,855.625,13,South East,3,3,2,Sanepa,Lalitpur
73500000,3114.475,13,South East,3.5,4,3,Manamaiju,Kathmandu
23000000,1026.75,13,South East,2.5,5,3,Greenhill City,Kathmandu
39000000,2053.5,14,South West,2.5,6,6,Budhanilkantha,Kathmandu
35000000,1369,18,South East,3,7,4,Sainbu,Lalitpur
16000000,752.95,12,East,2.5,5,3,Thali,Kathmandu
28000000,1129.425,13,West,3,5,5,Balkot,Bhaktapur
40000000,1369,16,West,3,10,4,Budhanilkantha,Kathmandu
19000000,1369,5,South,2.5,4,3,Bhaisepati,Lalitpur
55500000,2121.95,20,South,3.5,6,6,Pepsicola,Kathmandu
85000000,2053.5,12,South East,4,8,6,Bijulibajar,Kathmandu
33800000,1095.2,13,East,2.5,4,3,Sundarbasti,Kathmandu
26000000,1095.2,13,East,2.5,5,3,Harisiddhi,Lalitpur
32500000,1095.2,18,East,3.5,6,3,Ghattekulo,Kathmandu
45000000,1745.475,13,South West,3,7,6,Bhangal,Kathmandu
27500000,1095.2,10,West,2.5,6,4,Baluwakhani,Kathmandu
25000000,1711.25,16,East,2.5,4,3,Syuchatar,Kathmandu
32000000,1369,13,South East,2.5,5,4,Kapan,Kathmandu
39000000,1369,26,West,2.5,4,3,Khusibu Town Planning,Kathmandu
46000000,2395.75,13,South East,2.5,6,5,Nakhipot,Lalitpur
49500000,2806.45,12,South East,3.5,8,7,Sitapaila,Kathmandu
28000000,1711.25,13,South,3.5,8,4,Pasikot,Kathmandu
12500000,684.5,12,South West,2.5,4,3,Kapan,Kathmandu
21500000,787.175,13,East,3,3,3,Imadol,Lalitpur
21500000,1026.75,12,South East,3,4,3,Baluwakhani,Kathmandu
60000000,3490.95,13,South West,3.5,5,4,Mahadevtar,Kathmandu
38000000,1437.45,13,North East,2.5,7,4,Sampang Chowk,Lalitpur
29000000,1369,13,South East,2.5,5,4,Balambu,Kathmandu
58000000,2053.5,20,North,3.5,8,3,Ganesh Chowk,Kathmandu
42500000,1711.25,20,South,3,7,3,Bhaisepati,Lalitpur
27500000,1129.425,12,South East,3,8,3,Makalbari,Kathmandu
50000000,2053.5,20,South,2.5,3,3,Thaiba,Lalitpur
42500000,1369,14,South,2.5,3,3,Imadol,Lalitpur
56500000,1403.225,20,North,2.5,4,5,Tahachal,Kathmandu
31000000,1403.225,13,East,2.5,4,3,Lasuntar,Kathmandu
45000000,2395.75,16,South,2.5,4,3,Imadol,Lalitpur
22000000,1026.75,13,South,2.5,5,4,Lubhu,Lalitpur
85000000,3182.925,12,South,2.5,6,5,Thecho,Lalitpur
20000000,855.625,13,East,2.5,4,3,Nakhipot,Lalitpur
23000000,1369,27,North,3.5,4,4,Hattiban,Lalitpur
55000000,1369,13,West,2.5,3,3,Naxal,Kathmandu
36000000,4107,20,East,2.5,7,7,Dhaksi,Kathmandu
37000000,1095.2,14,North East,2.5,4,3,Bafal,Kathmandu
34000000,1369,13,East,3,6,4,Banasthali,Kathmandu
57500000,3080.25,12,South,2.5,4,3,Budhanilkantha,Kathmandu
120000000,4107,16,North,1.5,3,2,Chabahil,Kathmandu
22000000,1711.25,10,West,2.5,6,3,Thankot,Kathmandu
23000000,787.175,13,South,2.5,5,5,Sampang Chowk,Lalitpur
16800000,376.475,20,East,3.5,3,3,New Baneshwor,Kathmandu
22000000,1711.25,10,South,2.5,6,3,Mahadevsthan,Kathmandu
31000000,1300.55,13,East,2.5,5,3,Pasikot,Kathmandu
21000000,1026.75,10,South,2.5,5,3,Gothatar,Kathmandu
19500000,1369,13,South,2.5,5,4,Imadol,Lalitpur
85000000,2498.425,17,North East,2.5,5,4,Sainbu,Lalitpur
23000000,1026.75,27,West,2,3,2,Saraswotinagar,Kathmandu
32500000,1369,13,North,2.5,5,5,Thecho,Lalitpur
26000000,1369,10,South,2.5,4,3,Thecho,Lalitpur
29500000,1095.2,13,North,2.5,8,3,Imadol,Lalitpur
22500000,1026.75,13,East,2.5,4,3,Bhelpa,Lalitpur
68000000,2806.45,14,East,2.5,6,3,Baluwatar,Kathmandu
22000000,1026.75,13,South East,2.5,6,5,Tikathali,Lalitpur
25000000,1095.2,13,East,2.5,6,3,Hattidanda,Kathmandu
36500000,1745.475,14,North East,2.5,5,3,Sainbu,Lalitpur
54900000,2395.75,13,North East,2,5,5,Golfutar,Kathmandu
67500000,2395.75,26,East,2.5,5,4,Mid Baneshwor,Kathmandu
55000000,1779.7,15,North East,2.5,5,5,Hepali Height,Kathmandu
22000000,1129.425,13,South East,2.5,4,3,Thulo Bharyang,Kathmandu
33000000,1095.2,20,South,2.5,6,4,Nakhipot,Lalitpur
29500000,1437.45,13,North West,2.5,4,4,Satungal,Kathmandu
39900000,1163.65,16,North West,2.5,6,3,Imadol,Lalitpur
55000000,2395.75,20,South,3,5,5,Hattiban,Lalitpur
27500000,1060.975,20,South,2.5,7,5,Imadol,Lalitpur
32000000,1060.975,13,North,2.5,5,6,Bhangal,Kathmandu
35000000,1711.25,20,West,2.5,5,4,Naya Basti,Kathmandu
34500000,1369,13,West,2.5,6,5,Budhanilkantha,Kathmandu
12000000,1026.75,12,North East,1.5,2,2,Matatirtha,Kathmandu
24500000,1129.425,13,West,2.5,3,3,Budhanilkantha,Kathmandu
21000000,1026.75,13,South East,3,7,3,Satungal,Kathmandu
39000000,1095.2,12,East,3.5,6,3,Kapan,Kathmandu
45000000,3125,14,West,2.5,5,5,Bhaisepati,Lalitpur
100000000,3422.5,16,South,2.5,4,3,Kupandole,Lalitpur
31000000,1026.75,13,East,2.5,6,4,Ekatabasti,Kathmandu
23500000,752.95,13,South East,2.5,3,3,Sitapaila,Kathmandu
47000000,1471.675,13,South,3,5,4,Balkumari,Lalitpur
30500000,1437.45,13,South,2.5,5,4,Birendra Chowk,Kathmandu
36000000,1403.225,13,South West,2.5,4,5,Nakkhu,Lalitpur
25000000,1060.975,14,South East,2.5,2,3,Imadol,Lalitpur
22000000,1129.425,13,South East,2.5,5,3,Gairi Gaun,Kathmandu
22000000,1060.975,12,East,2.5,5,3,Dhalmal,Kathmandu
30000000,1369,26,South East,2.5,8,6,Gurjudhara,Kathmandu
20000000,1026.75,14,South East,2,4,2,Hattiban,Lalitpur
35000000,1369,12,East,2.5,5,3,Aarubari,Kathmandu
24000000,1095.2,13,East,2.5,4,3,Imadol,Lalitpur
26500000,1026.75,13,West,2.5,6,3,Tokha,Kathmandu
27000000,1095.2,14,South West,2.5,5,3,Imadol,Lalitpur
40000000,1711.25,20,East,2.5,5,4,Bhangal,Kathmandu
27000000,1403.225,13,East,2.5,4,3,Sitapaila,Kathmandu
16800000,376.475,20,East,4,3,3,New Baneshwor,Kathmandu
29000000,1437.45,13,North West,3,5,6,Matatirtha,Kathmandu
35000000,1369,12,South,3.5,5,3,Gongabu,Kathmandu
17000000,752.95,13,North East,2.5,6,2,Lubhu,Lalitpur
27500000,1060.975,20,East,2.5,5,3,Imadol,Lalitpur
45000000,1779.7,12,North East,2.5,5,3,Tokha,Kathmandu
24500000,1026.75,15,East,2.5,5,3,Mulpani,Kathmandu
34000000,1369,13,South East,3,4,3,Hattigaunda,Kathmandu
26500000,1129.425,20,West,2.5,6,4,Sitapaila,Kathmandu
36000000,1711.25,20,South West,2.5,7,7,Bhaisepati,Lalitpur
47500000,2806.45,13,North,3,7,6,Naikap,Kathmandu
62500000,2053.5,20,East,2.5,4,5,Budhanilkantha,Kathmandu
34000000,1060.975,15,East,2.5,5,3,Khusibu,Kathmandu
37500000,1369,13,East,2,7,4,Bafal,Kathmandu
42500000,1437.45,20,East,2.5,6,4,Khumaltar,Lalitpur
90000000,2738,20,South,3,6,4,Bafal,Kathmandu
49000000,1369,15,East,2.5,6,5,Sano thimi,Bhaktapur
29900000,1369,20,West,2.5,4,4,Phutung,Kathmandu
38500000,1369,13,North East,2.5,7,5,Budhanilkantha,Kathmandu
37500000,1095.2,16,South West,2.5,7,4,Narayantar,Kathmandu
19600000,1026.75,9,East,4,11,5,Nepaltar,Kathmandu
28400000,1711.25,22,East,3,5,5,Jarankhu,Kathmandu
16200000,1026.75,9,East,4,9,6,Nepaltar,Kathmandu
55000000,2053.5,13,North East,3.5,10,6,Maitrinagar,Kathmandu
33000000,1095.2,20.5,South West,2.5,6,4,Imadol,Lalitpur
42500000,1711.25,16,East,3,7,6,Kharibot,Kathmandu
21000000,1369,20,North,2,4,2,Dharmasthali,Kathmandu
70000000,2053.5,13,West,3.5,4,5,Bhaisepati,Lalitpur
41000000,1711.25,13,East,3.5,8,6,Ochu Height,Lalitpur
44500000,2121.95,12,South,3,6,3,Thapathali,Kathmandu
27500000,1026.75,22,South,3.5,6,7,Manamaiju,Kathmandu
45000000,1095.2,20,East,2.5,4,4,Imadol,Lalitpur
68000000,2738,20,South West,3,5,6,Budhanilkantha,Kathmandu
42000000,1437.45,16,South East,2.5,6,5,Basundhara,Kathmandu
43000000,1095.2,14,East,2.5,4,4,Imadol,Lalitpur
27000000,1026.75,20,West,2.5,4,4,Harisiddhi,Lalitpur
24000000,1095.2,13,East,2.5,4,3,Thaiba,Lalitpur
29000000,1095.2,14,North,2.5,4,3,Dhapasi,Kathmandu
57000000,2464.2,20,East,2.5,4,3,Tyanglafat,Kathmandu
20000000,1095.2,12,East,3,6,2,Imadol,Lalitpur
26500000,1369,13,West,3,8,8,Setipakha,Lalitpur
52500000,2738,13,North,3,9,4,Budhanilkantha,Kathmandu
33500000,1711.25,20,East,2.5,7,4,Sanagaun,Lalitpur
22500000,1060.975,18,North,2.5,4,3,Sitapaila,Kathmandu
23000000,1026.75,13,South,2.5,7,3,Tikathali,Lalitpur
35000000,1369,13,South East,2.5,5,4,Pasikot,Kathmandu
26500000,1060.975,20,South,2.5,4,4,Imadol,Lalitpur
27000000,2383,13,East,3.5,6,4,Chapali,Kathmandu
23000000,1026.75,13,South,2.5,4,3,Tikathali,Lalitpur
23000000,1026.75,10,North West,3,4,2,Syuchatar,Kathmandu
23000000,1026.75,10,South,2.5,5,3,Kalanki,Kathmandu
38000000,1026.75,20,South West,3.5,6,4,Baneshwor,Kathmandu
34500000,1403.225,13,North,2.5,5,4,Imadol,Lalitpur
26500000,1026.75,13,North,3.5,5,5,Imadol,Lalitpur
27000000,1095.2,15,South,2.5,4,4,Nakhipot,Lalitpur
39000000,1779.7,13,East,2.5,5,4,Buddha Chowk,Kathmandu
40000000,2053.5,4,West,2.5,6,4,New Buspark,Kathmandu
35000000,1095.2,13,South,2.5,5,3,Chhauni,Kathmandu
45000000,3080.25,26,North,2.5,5,2,Balkot,Bhaktapur
55000000,1779.7,13,North West,3.5,8,7,Dhumbarahi,Kathmandu
51000000,1437.45,12,South,2.5,5,5,Bansbari,Kathmandu
26000000,1095.2,10,North,2.5,5,2,Naya Basti,Kathmandu
27000000,1026.75,13,North,2.5,5,3,Dhapasi,Kathmandu
38500000,1779.7,18,East,3,7,5,Imadol,Lalitpur
52000000,1471.675,12,South,2.5,4,5,Bansbari,Kathmandu
25500000,1026.75,13,North,2.5,6,3,Imadol,Lalitpur
27000000,1129.425,13,South West,2.5,7,3,Baniyatar,Kathmandu
35000000,787.175,15,South West,3.5,6,4,Banasthali,Kathmandu
17500000,1060.975,11,West,2,6,3,Godawari,Lalitpur
46500000,2121.95,13,North West,3.5,4,5,Mandikhatar,Kathmandu
25000000,1369,8,South East,3.5,4,2,Bouddha,Kathmandu
51000000,2053.5,20,East,2.5,4,2,Dhapasi,Kathmandu
63500000,2700,14,North West,2.5,5,5,Sanepa,Lalitpur
23500000,752.95,12,North,2.5,6,2,Bafal,Kathmandu
38500000,1437.45,13,North,3,4,5,Kalanki,Kathmandu
21500000,787.175,13,East,2.5,9,3,Tikathali,Lalitpur
39000000,2395.75,12,East,2.5,7,4,Dhapasi,Kathmandu
27500000,1026.75,20,West,3.5,5,3,Imadol,Lalitpur
16000000,1369,10,South East,2,2,2,Chandragiri,Kathmandu
72500000,3422.5,13,North East,2.5,6,3,Maharajgunj,Kathmandu
29500000,1369,16,South,2.5,4,3,Golfutar,Kathmandu
120000000,4791.5,20,East,3.5,5,5,Maharajgunj,Kathmandu
26000000,1026.75,13,East,2.5,3,3,Imadol,Lalitpur
32500000,1129.425,23,West,2.5,6,4,Imadol,Lalitpur
40000000,1437.45,13,South,2.5,6,3,Imadol,Lalitpur
31500000,1060.975,13,West,2.5,4,4,Imadol,Lalitpur
33000000,1095.2,13,West,2.5,5,4,Imadol,Lalitpur
27000000,1403.225,13,North West,2.5,7,4,Tikathali,Lalitpur
22500000,787.175,13,East,2.5,4,4,Setipakha,Lalitpur
33000000,1129.425,16,South,2.5,6,4,Ochu Height,Lalitpur
36000000,1026.75,20,East,2.5,6,5,Raniban,Kathmandu
39900000,1711.25,13,East,2,4,4,Nakkhu,Lalitpur
17000000,1369,10,East,2.5,7,3,Changathali,Lalitpur
24500000,1095.2,13,South,2.5,5,4,Ochu Height,Lalitpur
35000000,1369,13,West,2.5,5,5,Imadol,Lalitpur
38000000,2053.5,13,East,2.5,6,6,Sitapaila,Kathmandu
75000000,4449.25,13,North,2.5,5,5,Pepsicola,Kathmandu
31000000,1129.425,10,North,2.5,4,3,Ichangu Narayan,Kathmandu
32500000,1745.475,10,East,3.5,5,2,Pasikot,Kathmandu
36700000,1026.75,8,North East,4,4,4,Maitidevi,Kathmandu
21600000,1026.75,11,North,3.5,8,4,Nepaltar,Kathmandu
28000000,1095.2,13,South,2.5,5,3,Nakhipot,Lalitpur
17500000,1129.425,10,South East,2.5,3,3,Ramkot,Kathmandu
27000000,1197.875,20,South West,2.5,5,4,Nakhipot,Lalitpur
25500000,1095.2,13,South,2.5,6,5,Hattiban,Lalitpur
36000000,1711.25,12,North,2.5,7,3,Chandol,Kathmandu
46000000,4358,27,North East,3.5,5,6,Dhobikhola,Kathmandu
15000000,1026.75,13,West,1.5,3,2,Phutung,Kathmandu
25500000,1026.75,10,West,2.5,8,3,Lolang,Kathmandu
25000000,1060.975,13,North,2.5,6,3,Tikathali,Lalitpur
37000000,1711.25,13,South West,2.5,6,6,Imadol,Lalitpur
39500000,1779.7,13,East,2.5,4,4,Kusunti,Lalitpur
45000000,2087.725,13,West,2.5,5,5,Satdobato,Lalitpur
46000000,1026.75,10,South,4,8,5,Shantinagar,Kathmandu
30000000,1026.75,8,South,2.5,5,3,Maitidevi,Kathmandu
24000000,1369,14,East,2,4,2,Maharajgunj,Kathmandu
38000000,1369,10,East,2.5,3,3,Dhumbarahi,Kathmandu
25500000,1437.45,20,North East,2,5,4,Kalanki,Kathmandu
31000000,1369,12,North,3.5,8,3,Kapan,Kathmandu
42500000,2158,20,South East,2.5,4,4,Imadol,Lalitpur
74000000,3764.75,13,South,3.5,8,4,Sanobharyang,Kathmandu
22500000,1369,11,East,3.5,6,7,Nepaltar,Kathmandu
34000000,1369,13,South East,2.5,5,4,Pasikot,Kathmandu
67500000,2738,11.5,South East,2,9,6,Dhumbarahi,Kathmandu
37500000,1711.25,20,North East,2.5,3,4,Sunakothi,Lalitpur
78000000,2053.5,13,North East,2.5,4,5,Bhaisepati,Lalitpur
77000000,2121.95,20,West,2.5,4,5,Hattigaunda,Kathmandu
38000000,1369,18,South East,2.5,4,3,Syuchatar,Kathmandu
105000000,3764.75,11,East,2,4,4,Maharajgunj,Kathmandu
23500000,1026.75,13,East,2.5,4,4,Imadol,Lalitpur
18000000,1129.425,20,South,2.5,4,3,Thaiba,Lalitpur
27000000,1095.2,13,South,2.5,5,3,Ochu Height,Lalitpur
41500000,1369,6,South,4,5,5,Koteshwor,Kathmandu
31500000,1026.75,10,South East,3,4,3,Shankhamul,Kathmandu
20400000,1026.75,11.5,South West,2.5,4,3,Sanagaun,Lalitpur
41000000,1437.45,20,South,3.5,6,6,Chardobato,Bhaktapur
40000000,1471.675,13,West,2.5,4,3,Mandikhatar,Kathmandu
43500000,2053.5,13,North,3,6,4,Deuwa chowk,Kathmandu
58000000,3422.5,13,East,2,4,4,Dhapasi,Kathmandu
38000000,1369,10,East,2.5,8,5,Gothatar,Kathmandu
30000000,1095.2,13,North West,3,12,5,Tokha,Kathmandu
35000000,2053.5,16.5,North,2.5,7,4,Harisiddhi,Lalitpur
30000000,1129.425,13,South East,3,6,5,Chunikhel,Kathmandu
55000000,1711.25,13,South,3,3,4,Khumaltar,Lalitpur
19500000,752.95,10,South West,2.5,4,3,Chunikhel,Kathmandu
68000000,2121.95,23,North East,3.5,7,3,Shankhamul,Kathmandu
18000000,1779.7,11,East,3.5,4,4,Mandikhatar,Kathmandu
27000000,1060.975,13,South,2.5,4,3,Gwarko,Lalitpur
29000000,1369,13,North,2.5,5,4,Imadol,Lalitpur
27500000,1095.2,13,East,2.5,4,4,Imadol,Lalitpur
35000000,1026.75,14,North East,4,4,7,Kirtipur,Kathmandu
28000000,1197.875,26,West,4,11,8,Balaju,Kathmandu
28000000,1060.975,11,East,3.5,8,6,Manamaiju,Kathmandu
35000000,1437.45,12,East,3.5,12,6,Narayantar,Kathmandu
28500000,1095.2,9,East,2.5,4,3,Bhangal,Kathmandu
58000000,3422.5,13,East,2,4,3,Dhapasi,Kathmandu
82000000,2053.5,10,South East,3,8,3,Suryabinayak,Bhaktapur
17000000,752.95,13,North East,2.5,5,2,Lubhu,Lalitpur
39000000,2053.5,14.5,South West,3,6,6,Budhanilkantha,Kathmandu
16000000,1095.2,10,South West,2.5,4,3,Jarankhu,Kathmandu
35000000,2738,13,North,2.5,5,4,Katunje,Bhaktapur
26500000,1060.975,20,South,2.5,4,3,Imadol,Lalitpur
40000000,1369,26,North,2.5,3,3,Imadol,Lalitpur
25000000,1026.75,10,South,3.5,7,3,Chunikhel,Kathmandu
35000000,2121.95,8,West,2.5,4,2,Chabahil,Kathmandu
55000000,2121.95,13,South East,2.5,6,5,Bansbari,Kathmandu
36500000,1711.25,13,South,3,5,4,Bafal,Kathmandu
61500000,2053.5,13,South,2.5,5,3,Chapali,Kathmandu
17000000,1095.2,10,South East,2.5,6,3,Chandragiri,Kathmandu
13500000,1026.75,22,West,3,7,2,Thankot,Kathmandu
25500000,1026.75,13,West,2.5,4,4,Imadol,Lalitpur
25000000,1437.45,12,South West,2.5,6,3,Manamaiju,Kathmandu
51500000,2840.675,13,South West,2,5,3,Budhanilkantha,Kathmandu
58000000,3422.5,13,East,2.5,4,2,Dhapasi,Kathmandu
23500000,855.625,13,East,4,3,3,Banasthali,Kathmandu
45000000,2053.5,5,South,3.5,7,4,Kumaripati,Lalitpur
37000000,1095.2,13,North East,2.5,4,3,Bafal,Kathmandu
32500000,1813.925,13,South East,3,6,3,Kapan,Kathmandu
27000000,1095.2,20,West,2.5,5,4,Imadol,Lalitpur
28500000,1129.425,13,North West,2.5,4,4,Imadol,Lalitpur
15000000,1026.75,17,South,2.5,4,3,Danchhi,Kathmandu
27500000,1026.75,13,South East,3,5,3,Imadol,Lalitpur
24500000,1026.75,10,North East,2.5,7,4,Tyanglafat,Kathmandu
25500000,1026.75,13,West,3,5,3,Kageshwori Manohara,Kathmandu
23500000,1060.975,13,North,2.5,4,5,Imadol,Lalitpur
42500000,1369,13,South,2.5,6,4,Imadol,Lalitpur
40000000,1711.25,15,South East,2.5,6,6,Budhanilkantha,Kathmandu
30000000,1026.75,13,West,2.5,4,3,Thulo Bharyang,Kathmandu
55000000,1437.45,13.5,South,2,3,4,Bhaisepati,Lalitpur
38000000,1745.475,14,South,2.5,5,3,Pasikot,Kathmandu
25500000,1095.2,20,East,2.5,9,7,Nakhipot,Lalitpur
31000000,1129.425,15,South West,2.5,5,4,Bhaisepati,Lalitpur
67500000,2464.2,13,North East,2.5,6,4,Kupandole,Lalitpur
55000000,1779.7,16,South East,2.5,5,4,Bhaisepati,Lalitpur
32500000,1129.425,13,South East,2.5,4,4,Bhaisepati,Lalitpur
36000000,2395.75,12.5,North East,2.5,6,2,Imadol,Lalitpur
27500000,1060.975,16,South West,2.5,3,3,Golfutar,Kathmandu
77500000,3080.25,20,South West,2.5,5,4,Thado Dhunga,Lalitpur
42500000,2053.5,20,South East,2.5,3,3,Sunakothi,Lalitpur
54000000,1813.925,20,South East,2.5,7,4,Bagdol,Lalitpur
45000000,1711.25,15,North West,2.5,5,6,Budhanilkantha,Kathmandu
38000000,1745.475,14,South West,2.5,5,3,Pasikot,Kathmandu
20500000,1026.75,20,South East,3,4,3,Katunje,Bhaktapur
50000000,1745.475,13,South,2.5,4,5,Rudreshwor,Kathmandu
29000000,1095.2,16,West,2.5,5,5,Golfutar,Kathmandu
29000000,1095.2,13.5,South East,2.5,3,3,Dhapakhel,Lalitpur
25000000,1403.225,12,West,2.5,6,5,Bauthali,Kathmandu
29500000,1095.2,13,East,2,5,5,Tikathali,Lalitpur
62500000,1813.925,16,South West,2.5,3,3,Bhaisepati,Lalitpur
39000000,1711.25,13,East,2.5,4,4,Nakkhu,Lalitpur
31000000,1369,13,South East,2.5,5,4,Sitapaila,Kathmandu
26000000,1060.975,13,North,2,4,5,Imadol,Lalitpur
41000000,1369,13,South West,2,5,5,Bhaisepati,Lalitpur
40000000,1471.675,13,West,2.5,5,4,Budhanilkantha,Kathmandu
32500000,1129.425,13,South West,2.5,4,4,Bhaisepati,Lalitpur
43000000,1711.25,18,South,2.5,5,3,Nakkhu,Lalitpur
65000000,4107,13,South,3,7,3,Imadol,Lalitpur
38500000,1437.45,13.5,South,2,3,4,Bhaisepati,Lalitpur
37500000,2395.75,13,South,2.5,4,3,Sitapaila,Kathmandu
37000000,1369,10,North,3,6,4,Syuchatar,Kathmandu
55000000,2566.875,19.5,South West,3.5,7,8,Budhanilkantha,Kathmandu
53500000,2429.975,18.5,South West,3.5,7,5,Pasikot,Kathmandu
35000000,1403.225,20,East,2.5,5,4,Sunakothi,Lalitpur
70000000,2156.175,11,South,2,6,5,Gahana Pokhari,Kathmandu
102000000,3080.25,20,West,2.5,5,4,Bhimsengola,Kathmandu
95000000,3422.5,13,South,2.5,5,4,Battisputali,Kathmandu
39000000,1711.25,13,North East,2.5,5,3,Sundarbasti,Kathmandu
27000000,1060.975,13,South East,2.5,6,3,Besigaun,Kathmandu
40500000,1882.375,13,North East,2,4,3,Kusunti,Lalitpur
33000000,2053.5,13,South East,2.5,6,4,Pasikot,Kathmandu
